J0,J1,J2,J3,J4,J5,J6,J7,J8,J9,J10,J11,J12,J13,J14,J15,ThetaXHG,ThetaYHG,ThetaZHG
0.07699771135695867,0.6389156242409135,0.7029036623927356,1.1085966342175817,-0.011509759120367793,0.7452069220994163,0.5049097348508296,1.3025196615421906,0.04183001204381732,-0.17039400005238714,0.7266667384871388,0.7927596508742952,1.5003749209279817,0.2331232440104071,-0.29499528829941507,1.681239910945602,0.008758422053507043,0.0,0.0
0.07550007756457441,0.6382776073298009,0.7024087358017075,1.1083916857929441,-0.012899383496815879,0.7457929072237895,0.5055713674363875,1.3029364086628423,0.04183001204381732,-0.17039400005238714,0.7266667384871388,0.7927596508742952,1.4995257903151156,0.23290427546829257,-0.29485487800324384,1.6812061439116168,0.07453252280620146,0.0,0.0
0.07320396177994659,0.6372264655913858,0.7015387129870372,1.1080076732797783,-0.015107873900399527,0.746730101534061,0.5066164151799505,1.3035894976725513,0.04183001204381732,-0.17039400005238714,0.7266667384871388,0.7927596508742952,1.4981763819388818,0.23255614200448085,-0.29463119525060333,1.6811486550776908,0.12888842324092992,0.0,0.0
0.06798120230773769,0.6350385402597215,0.6997731393792055,1.1072461647216842,-0.019950736843839516,0.7488057573080902,0.5088854942729598,1.3049894799470731,0.04183001204381732,-0.17039400005238714,0.7266667384871388,0.7927596508742952,1.4952176521748008,0.2317922775288464,-0.2941388382092969,1.6810092636962677,0.19792080080477287,0.0,0.0
0.06255034714324391,0.6326309293201482,0.6976322672391209,1.1062391807594976,-0.025167480944913015,0.7510900064548532,0.5112764661612106,1.3064218426437644,0.04183001204381732,-0.17039400005238714,0.7266667384871388,0.7927596508742952,1.4920311762897494,0.23096834322081716,-0.29360408173211067,1.6808276211318172,0.2333978381077243,0.0,0.0
0.055809352698290585,0.6299412740517631,0.695210726440137,1.105086960430218,-0.031406555258185365,0.7538838682737086,0.5140672764446086,1.3080377892792956,0.04183001204381732,-0.17039400005238714,0.7266667384871388,0.7927596508742952,1.4882209896409881,0.22998151807034437,-0.2929588626147319,1.6805697895147358,0.2689205543625576,0.0,0.0
0.04549682323939883,0.6259547744944196,0.691370563022788,1.1031627053561046,-0.04094022954498035,0.7582656678872812,0.5182060216250407,1.3103303460449174,0.04183001204381732,-0.17039400005238714,0.7266667384871388,0.7927596508742952,1.4823999162721233,0.2284709702241977,-0.29196254421270157,1.6801015569597628,0.3174870654888911,0.0,0.0
0.03717851241769453,0.622898019893307,0.6881059440106612,1.1014105477983973,-0.04861692438959214,0.7619315438293223,0.5213834776127262,1.311960087585831,0.04183001204381732,-0.17039400005238714,0.7266667384871388,0.7927596508742952,1.4777136899615693,0.22725139990027837,-0.29114745530329106,1.6796330238967947,0.3198952056422064,0.0,0.0
0.027953236261220128,0.619650819308993,0.6843360892488897,1.0992875420796442,-0.057118887937286825,0.7661132633386271,0.5247637363222777,1.3135732653808738,0.04183001204381732,-0.17039400005238714,0.7266667384871388,0.7927596508742952,1.4725240919195453,0.22589777701272928,-0.29023319835371425,1.6790323117465669,0.32038269341608505,-0.0,0.0
0.0218357964432526,0.616463333606599,0.6799633299492784,1.0966240388935184,-0.06204264202989218,0.7705130246317926,0.528593620298083,1.3155327705278006,0.04183001204381732,-0.17039400005238714,0.7266667384871388,0.7927596508742952,1.4653110150182589,0.22401176769367862,-0.28894453964880323,1.6780710774094225,0.32832650444395317,0.0,0.0
0.012048662148753473,0.6134859102669538,0.6759081431726695,1.0941540423496088,-0.07107154109083257,0.775433237471215,0.5321221969623593,1.3169781315818312,0.04183001204381732,-0.17039400005238714,0.7266667384871388,0.7927596508742952,1.459803674209326,0.22256701142964683,-0.2879415161443371,1.6772026787534675,0.33873109170906907,-0.0,0.0
0.0030481946977513608,0.6107634540790564,0.6717731163151496,1.091523275057931,-0.07933370821786409,0.7798673185291681,0.534979460325151,1.3179608320767735,0.04183001204381732,-0.17039400005238714,0.7266667384871388,0.7927596508742952,1.4547634809697307,0.22124159386853062,-0.2870101273773244,1.6763135893720755,0.34278772503642213,-0.0,0.0
-0.006465207570223947,0.6080494869142259,0.6672353673321578,1.0885366865273878,-0.0880546268193423,0.7846786329274082,0.5378395048943044,1.3187894996330887,0.04183001204381732,-0.17039400005238714,0.7266667384871388,0.7927596508742952,1.4494423924306272,0.21983929046376552,-0.28601374775980903,1.6752834584924277,0.3604265474527408,0.0,0.0
-0.015607517560691533,0.605639475820998,0.6627584017109253,1.0854918273900565,-0.09642952528135744,0.7898332772258476,0.5407961644624569,1.3195695160716208,0.04183001204381732,-0.17039400005238714,0.7266667384871388,0.7927596508742952,1.4441086582428704,0.21843054147108643,-0.2850010420043562,1.6741536939572925,0.3803291211589588,0.0,0.0
-0.02414788840712448,0.603510820981801,0.6583729267449121,1.0824230762884246,-0.10391136696058811,0.7945609383929758,0.5432903789872068,1.3200710531854882,0.04183001204381732,-0.17039400005238714,0.7266667384871388,0.7927596508742952,1.4393421206485444,0.2171688883165402,-0.28408340381044594,1.6730566486039353,0.3787094025240725,-0.0,0.0
-0.032117669109382976,0.601859859032028,0.6545282878455748,1.0796534460016434,-0.11064569776988128,0.7991044744665938,0.5455809694326585,1.320448041874987,0.04183001204381732,-0.17039400005238714,0.7266667384871388,0.7927596508742952,1.4350502179218254,0.2160307430705371,-0.2832468740277678,1.6719981950762635,0.3821768388119261,-0.0,0.0
-0.04038227062781322,0.6002695657362274,0.6504178936289832,1.0766270385738452,-0.11731879608992271,0.8038714964231101,0.5478857379741955,1.3207467426646915,0.04183001204381732,-0.17039400005238714,0.7266667384871388,0.7927596508742952,1.430602276804894,0.21484928741682607,-0.2823702499007557,1.6708350651355741,0.3955405596099059,0.0,0.0
-0.0467999310818871,0.5992214860033583,0.6473025515992308,1.0742750582157732,-0.12251286629442441,0.8076554298676767,0.5495899551304941,1.320861850389396,0.04183001204381732,-0.17039400005238714,0.7266667384871388,0.7927596508742952,1.4271388092529096,0.2139278047573544,-0.2816797550228259,1.6698757392022028,0.3968292120464457,-0.0,0.0
-0.052245447589353906,0.5985150843500839,0.6448405305487279,1.0723721052419997,-0.12657687692047254,0.8109087947520768,0.5510682690400385,1.3209728266120528,0.04183001204381732,-0.17039400005238714,0.7266667384871388,0.7927596508742952,1.42429884437904,0.21317126149561874,-0.2811084681973047,1.6690547320426552,0.4009108875886503,0.0,0.0
-0.058646415294236455,0.5977446050706051,0.6418851368268709,1.0700587236185883,-0.13135164919951367,0.8147763191093231,0.5527497196026308,1.3210310517797739,0.04183001204381732,-0.17039400005238714,0.7266667384871388,0.7927596508742952,1.4209613171908293,0.21228127529204963,-0.28043213561549146,1.6680566441741858,0.4063246261971358,0.0,0.0
-0.06421433809691451,0.5971360291944233,0.6392512842135634,1.0679675304512402,-0.13550280668329104,0.8181847440866404,0.554154702473087,1.321007959829373,0.04183001204381732,-0.17039400005238714,0.7266667384871388,0.7927596508742952,1.4180587391679398,0.21150637254128,-0.27983883328490017,1.667154547715252,0.4122396448601935,0.0,0.0
-0.06919226335392818,0.5966402293924277,0.6368471853277539,1.066036041104852,-0.13903583535878555,0.8212413091765617,0.5554007315443193,1.3209736046289875,0.04183001204381732,-0.17039400005238714,0.7266667384871388,0.7927596508742952,1.4154640548439084,0.2108129819648855,-0.27930445475488924,1.6663215564587832,0.4205698557558487,0.0,0.0
-0.07471354451453696,0.596207632517176,0.6342843587206068,1.0639421642028921,-0.14296582218376042,0.8246751726443048,0.5567445648808153,1.3208810077067241,0.04183001204381732,-0.17039400005238714,0.7266667384871388,0.7927596508742952,1.4125771417672535,0.21004082671746296,-0.27870586631545,1.6653682250553452,0.4316375075920402,0.0,0.0
-0.07980385538001226,0.5958918593741548,0.631951517200885,1.062007446550236,-0.14645994635058096,0.8277616279562027,0.5578974486465744,1.3207448777283832,0.04183001204381732,-0.17039400005238714,0.7266667384871388,0.7927596508742952,1.4100096822184736,0.2093534620036321,-0.2781694973354174,1.6644940594076105,0.4480704240415253,0.0,0.0
-0.08543629857567848,0.5955907693217092,0.6293205453789096,1.059804413547606,-0.1503253001568787,0.8312088195542608,0.5591314172874442,1.320541338930763,0.04183001204381732,-0.17039400005238714,0.7266667384871388,0.7927596508742952,1.4071686932609941,0.20859223639375016,-0.2775719942770248,1.6635007722746622,0.45045608051607416,0.0,0.0
-0.08931594324907471,0.5954659789307237,0.6275762987504823,1.058316772444789,-0.1528619080483436,0.8336890186726833,0.5600486876292116,1.3204230497184515,0.04183001204381732,-0.17039400005238714,0.7266667384871388,0.7927596508742952,1.4052055920109672,0.20806576103204966,-0.27715604469973365,1.6627944829723649,0.45129846881307034,-0.0,0.0
-0.09361960042789375,0.5953551767690953,0.6256128992472162,1.056630820729831,-0.1556754725836475,0.8364593878548372,0.5610416222705122,1.3202605976044257,0.04183001204381732,-0.17039400005238714,0.7266667384871388,0.7927596508742952,1.4030277580823882,0.20748134002691954,-0.27669221449839027,1.6619956075504618,0.4516029121123798,0.0,0.0
-0.09769481311306338,0.5952794394068371,0.6237236171014839,1.054996588832043,-0.15833945499328342,0.8391027819649861,0.5619559639245983,1.3200739524723808,0.04183001204381732,-0.17039400005238714,0.7266667384871388,0.7927596508742952,1.4009652826390184,0.20692750493552403,-0.276250431752141,1.661222902236704,0.45738756678831144,0.0,0.0
-0.10227052407592634,0.5952256166616573,0.6215701287477404,1.0531212007141377,-0.16133042508279274,0.8420921927638636,0.5629550065450473,1.3198294806111586,0.04183001204381732,-0.17039400005238714,0.7266667384871388,0.7927596508742952,1.398649183544822,0.20630517615123334,-0.2757516200509898,1.6603379598142538,0.45728571560958287,0.0,0.0
-0.1051574502252152,0.5951812800716093,0.6201084050111106,1.0518495956214033,-0.1631125687217337,0.843971087191118,0.5635874707933448,1.3196802018870937,0.04183001204381732,-0.17039400005238714,0.7266667384871388,0.7927596508742952,1.397192148588391,0.20591340496813876,-0.27543589773599,1.6597690546431665,0.45749271871189734,0.0,-0.0
-0.10804565342003711,0.5951839362162606,0.6187114843639122,1.050618345825585,-0.16490105603027086,0.8458658603449963,0.5642103911184142,1.3195154795333075,0.04183001204381732,-0.17039400005238714,0.7266667384871388,0.7927596508742952,1.3957297519489844,0.2055200239201087,-0.2751177887420724,1.6591903347936372,0.45653390084954054,-0.0,0.0
-0.1112966778180343,0.5952029115443631,0.6171226382429841,1.0492116497119275,-0.16691426631831596,0.8480090813122313,0.5648982240701169,1.319313207815298,0.04183001204381732,-0.17039400005238714,0.7266667384871388,0.7927596508742952,1.3940834039341667,0.20507697231127833,-0.2747582736761069,1.6585300779146712,0.4570678963289636,0.0,0.0
-0.11422422428511926,0.5952362793445494,0.6156751466949781,1.0479237449095076,-0.16872723422797528,0.8499496275940936,0.5655040673900052,1.3191139649806711,0.04183001204381732,-0.17039400005238714,0.7266667384871388,0.7927596508742952,1.3926006008367566,0.20467774389699625,-0.27443305229106546,1.657926528277593,0.45761748879924535,0.0,-0.0
-0.11745802074066128,0.5952894136039076,0.6140595106090991,1.046479924244278,-0.17072995119569317,0.8521037079501005,0.566159779484002,1.3188768598827656,0.04183001204381732,-0.17039400005238714,0.7266667384871388,0.7927596508742952,1.3909623930916848,0.20423648893214086,-0.2740723243790413,1.6572508674009292,0.45761748879924535,0.0,0.0
-0.12045807354210565,0.5953554692434512,0.6125434417643769,1.045118624870403,-0.172588028523552,0.854112896527362,0.5667542216422953,1.3186394378482478,0.04183001204381732,-0.17039400005238714,0.7266667384871388,0.7927596508742952,1.3894422793029308,0.20382685473540116,-0.27373613371087263,1.6566148146542166,0.45720877760170014,-0.0,-0.0
-0.12228186136095577,0.5954249841204323,0.6116638528905118,1.0443177656798655,-0.17365822843270962,0.8553799803820592,0.5671544201418682,1.3185138491220383,0.04183001204381732,-0.17039400005238714,0.7266667384871388,0.7927596508742952,1.3885151071281527,0.20357689888260708,-0.27353024338610293,1.6562217023594428,0.45700607490729417,-0.0,0.0
-0.1244114985621199,0.5955011583465064,0.6105996352413173,1.0433511017179302,-0.1749322634276805,0.8567685585806891,0.5675476802743378,1.3183331392811601,0.04183001204381732,-0.17039400005238714,0.7266667384871388,0.7927596508742952,1.3874725956260716,0.20329577735236634,-0.27329816434645904,1.6557761414580718,0.45833065308081933,-0.0,0.0
-0.12626526446861988,0.5955842774289057,0.6096927485270804,1.0425208134009123,-0.17602021621395625,0.8580647226982809,0.5679440397189559,1.3181923358646426,0.04183001204381732,-0.17039400005238714,0.7266667384871388,0.7927596508742952,1.3865298917837792,0.20304149767448348,-0.27308771585187225,1.6553696273850107,0.45862145821401556,0.0,-0.0
