ThetaXHGdeg,ThetaXHG
0.043691326443929,0.00076255750101
-0.039175903293273,-0.000683748499911
-0.458861057364908,-0.0080086362602
-0.821486786414088,-0.014337649184553
-1.18411251546327,-0.020666662108906
-1.54673824451245,-0.026995675033259
-1.90936397356163,-0.033324687957612
-2.33107414154923,-0.040684918878135
-2.64006896141354,-0.046077895856373
-3.00269469046273,-0.052406908780727
-3.3653204195119,-0.05873592170508
-3.72794614856108,-0.065064934629433
-4.150968699644,-0.072448070956015
-4.51359442869318,-0.078777083880368
-4.87622015774236,-0.085106096804722
-5.23884588679154,-0.091435109729075
-5.60147161584072,-0.097764122653428
-5.9640973448899,-0.104093135577781
-6.46579488256707,-0.112849409459395
-6.54584345146834,-0.114246520548232
-5.97698453889106,-0.104318059544444
-5.41143854364037,-0.094447419855851
-4.89044557450598,-0.085354377164715
-3.8937089733844,-0.067958041700006
-4.36949748479351,-0.076262117767258
-3.10024623390968,-0.054109504404278
-2.22656628770591,-0.038860912734376
-2.6139980972301,-0.045622873437532
-1.71551207055132,-0.029941333988826
-1.126122862423,-0.019654551731265
-0.591078554282705,-0.010316266910161
0.041421010544815,0.00072293301351
0.60091889170074,0.010488013197613
0.966658980634117,0.016871381956038
1.30469816923755,0.022771278797938
0.841146197353481,0.014680770634448
-0.066940217663527,-0.00116832720023
-0.537930438879007,-0.009388657305137
-0.988465435576474,-0.017251976392969
-1.46097774918601,-0.025498872021672
-1.6313835542035,-0.028473014383739
-2.10520825090834,-0.036742815418502
1.20377192640266,0.021009783558801
0.462078280094712,0.008064787389605
-2.62848191066535,-0.045875663670222
-3.17242050423912,-0.055369183056751
-3.61746117170856,-0.063136608009366
-4.06250183917801,-0.070904032961982
-4.27673987959625,-0.074643192150301
-4.71903338245168,-0.082362670035307
-5.20253435451726,-0.090801353934444
-5.35645717185069,-0.093487813890858
-5.79592191114319,-0.101157920537931
-6.26843422475272,-0.109404816166633
-6.60916423583877,-0.115351676720442
-7.06052066195547,-0.123229332456212
-7.28704750408271,-0.127182971695478
-7.27667860907213,-0.12700200033775
-6.94880237527483,-0.121279480518948
-7.1535788232813,-0.1248535037672
-7.7637077642629,-0.135502262649035
-8.21685004166192,-0.143411087369634
-8.24088209782136,-0.14383052587564
-8.62957053115909,-0.150614418801802
-8.69318507174567,-0.151724701987181
-7.9753074386657,-0.139195373663512
-7.64665407202144,-0.133459290317806
-7.16434716457522,-0.125041446777758
-6.66295426297405,-0.116290489798689
-6.33618311208514,-0.110587257315147
-5.97664998320044,-0.104312220446111
-5.65236216032399,-0.098652330212793
-5.24780001145422,-0.091591388686072
-4.76058084728237,-0.083087810092459
-4.29485484625892,-0.074959357962453
-3.5901255238167,-0.062659510950488
-2.79059862245393,-0.048705134063439
-3.14096410942623,-0.054820165396459
-2.12297642203806,-0.037052928506773
-1.56916435564364,-0.027387084510917
-1.1457474096409,-0.01999706469443
-0.980387139632308,-0.017110983530793
-1.14476822225373,-0.01997997465053
-1.66660710049203,-0.029087781240702
-2.02923282954121,-0.035416794165055
-2.39185855859039,-0.041745807089408
-2.75448428763957,-0.048074820013761
-3.14734922718008,-0.054931606724391
-3.64044487565745,-0.063537749317578
-4.17202122846818,-0.072815506899868
-4.69262932256011,-0.081901832254305
-5.29831792073738,-0.092473092534287
-5.94432863952889,-0.103748106580374
-6.3890592309924,-0.111510119685754
-6.77285172739427,-0.118208562392415
-7.14339255448975,-0.124675719838295
-7.2394461743742,-0.126352171763737
-7.02930556689157,-0.122684526271024
-6.85919507235593,-0.119715538049182
-6.69143929034658,-0.116787647313861
-6.42714029475921,-0.112174759631147
-6.23897700418865,-0.108890690679304
-6.18817194431854,-0.108003975107898
-6.07573150693986,-0.106041519263257
-5.41767270333869,-0.094556226468682
-5.91883712788286,-0.103303195770841
-4.92128997720189,-0.08589271354757
-4.41836301536082,-0.077114982166391
-3.66638427486762,-0.063990477239785
-4.05568832694228,-0.070785114739843
-3.17770403618239,-0.055461398085296
-2.72021952900097,-0.047476787158116
-2.28848969007589,-0.039941679989769
-1.78052603311206,-0.031076041695279
-1.2602942008402,-0.021996283348452
-0.881693210900314,-0.015388449522691
-0.60448409589279,-0.01055023774927
-0.485040720146923,-0.008465557572808
-0.921737895088182,-0.016087361109691
-1.25133644955756,-0.021839941094995
-1.61396217860674,-0.028168954019348
-2.08947597355445,-0.036468235379839
-2.59053839941245,-0.045213424469091
-3.13035624606521,-0.054635023254208
-3.60286855967475,-0.06288191888291
-3.75679137700818,-0.065568378839324
-4.25121980831809,-0.074197782881153
-4.79913635065224,-0.083760730571027
