HG_J0,HG_J1,HG_J2,HG_J3,HG_J4,HG_J5,HG_J6,HG_J7,HG_J8,HG_J9,HG_J10,RH_J0,RH_J1,RH_J2,RH_J3,RH_J4,RH_J5,RH_J6,RH_J7,RH_J8,RH_J9,RH_J10,RH_J11,RH_J12,RH_J13,RH_J14,RH_J15,ThetaXHG,ThetaYHG,ThetaZHG,,,,,,Thumb Base,Thumb Split,Thumb Bend,F1 Split,F1 Bend,F2 Split,F2 Bend,F3 Split,F3 Bend,F4 Split,F4 Bend
0.545000017,0.723930955,0.565789461,0.430000007,0.624890804,0.613333344,0.508948028,0.313333333,0.38397181,1,0.115183249,0.010150726,0.611195979,0.696782607,1.126734709,0.007098422,0.746140886,0.506885888,1.361662155,0.000628639,-0.195763434,0.693639569,0,1.462817496,0.222366212,-0.292217057,1.687411424,0.015935205,0,0,,,,,,0.545000017,0.182314918,1.147124391,0.750491591,1.214711287,1.070468627,0.908158586,0.546869831,0.577721467,1.745329252,-0.132955489
0.545000017,0.723930955,0.56535089,0.430000007,0.624890804,0.613333344,0.508948028,0.313333333,0.38397181,1,0.115183249,0.009706718,0.611051705,0.696583424,1.12661409,0.006687395,0.746325148,0.507099982,1.361798431,0.000628639,-0.195763434,0.693639569,0,1.462580701,0.222304211,-0.292173652,1.687372164,0.016358276,0,0,,,,,,0.545000017,0.182314918,1.146227271,0.750491591,1.214711287,1.070468627,0.908158586,0.546869831,0.577721467,1.745329252,-0.132955489
0.545000017,0.723930955,0.56535089,0.430000007,0.624890804,0.613333344,0.508948028,0.313333333,0.38397181,1,0.115183249,0.00927245,0.61091095,0.696388239,1.126495665,0.006285385,0.746505687,0.507309025,1.361931203,0.000628639,-0.195763434,0.693639569,0,1.462349112,0.222243567,-0.292131176,1.687333583,0.016358276,0,0,,,,,,0.545000017,0.182314918,1.146227271,0.750491591,1.214711287,1.070468627,0.908158586,0.546869831,0.577721467,1.745329252,-0.132955489
0.545000017,0.723680913,0.56535089,0.430000007,0.624454141,0.61500001,0.508948028,0.313333333,0.38397181,1,0.115183249,0.008911286,0.610794179,0.696225611,1.126396808,0.00595105,0.746656094,0.507482588,1.362041205,0.000628639,-0.195763434,0.693639569,0,1.462156519,0.222193129,-0.292095831,1.687301347,0.017397046,0,0,,,,,,0.545000017,0.183461454,1.146227271,0.750491591,1.213556748,1.073377507,0.908158586,0.546869831,0.577721467,1.745329252,-0.132955489
0.545000017,0.722680688,0.563596487,0.431666672,0.623580813,0.61500001,0.508948028,0.314999998,0.38397181,1,0.115183249,0.008338563,0.61060939,0.695967325,1.12623956,0.005420874,0.746894946,0.507757439,1.362215092,0.000628639,-0.195763434,0.693639569,0,1.461851125,0.222113143,-0.292039757,1.687250032,0.019487773,0,0,,,,,,0.545000017,0.188047871,1.142638546,0.75340047,1.211247671,1.073377507,0.908158586,0.54977871,0.577721467,1.745329252,-0.132955489
0.545000017,0.721930504,0.560964942,0.435000002,0.623580813,0.616666675,0.510694027,0.314999998,0.384852499,1,0.114659689,0.007511545,0.610332099,0.695576612,1.126000885,0.004657376,0.747254243,0.508168602,1.362474318,0.000628639,-0.195763434,0.693639569,0,1.461393036,0.22199315,-0.29195558,1.687172589,0.027962081,0,0,,,,,,0.545000017,0.191487752,1.137255582,0.759218229,1.211247671,1.076286386,0.912775007,0.54977871,0.580050007,1.745329252,-0.134339781
0.54400003,0.720430136,0.553070188,0.435000002,0.624890804,0.61833334,0.518114388,0.316666663,0.394539863,1,0.114659689,0.006246497,0.609909936,0.694976898,1.125633269,0.003489499,0.747805626,0.508795561,1.362867971,0.000628639,-0.195763434,0.693639569,0,1.460692392,0.221809584,-0.291826682,1.687053055,0.048766205,0,0,,,,,,0.545000017,0.198367515,1.121106445,0.759218229,1.214711287,1.079195265,0.932394442,0.55268759,0.605663397,1.745329252,-0.134339781
0.54400003,0.719429851,0.548684239,0.438333333,0.624890804,0.623333335,0.521169782,0.321666658,0.402906209,1,0.114659689,0.004229037,0.60924156,0.694015472,1.125040834,0.001549416,0.74868902,0.509790962,1.363489244,0.000628639,-0.195763434,0.693639569,0,1.459575196,0.221516797,-0.291620783,1.68685981,0.063318689,0,0,,,,,,0.545000017,0.202954206,1.112134757,0.765035987,1.214711287,1.087921903,0.940472903,0.561414227,0.627784017,1.745329252,-0.134339781
0.542999983,0.718679667,0.546491206,0.438333333,0.625327528,0.623333335,0.52466172,0.323333323,0.406428874,1,0.114659689,0.002302109,0.608636762,0.693128972,1.124490317,-0.000234315,0.749507884,0.510698715,1.364049723,0.000628639,-0.195763434,0.693639569,0,1.458548272,0.22124754,-0.291430981,1.686678301,0.07109796,0,0,,,,,,0.545000017,0.206394087,1.107648791,0.765035987,1.215865983,1.087921903,0.949705587,0.564323107,0.637097942,1.745329252,-0.134339781
0.541999996,0.716679156,0.538596511,0.441666663,0.625327528,0.62833333,0.532082081,0.324999988,0.415235579,1,0.114659689,-0.000555702,0.607711389,0.691745025,1.123623996,-0.00298246,0.750715384,0.512017296,1.364855601,0.000628639,-0.195763434,0.693639569,0,1.456966443,0.220832609,-0.291137852,1.686393216,0.095934845,0,0,,,,,,0.545000017,0.215567195,1.091499776,0.770853746,1.215865983,1.096648541,0.969325022,0.567231986,0.660382871,1.745329252,-0.134339781
0.541000009,0.714178562,0.527631581,0.448333323,0.627074242,0.633333325,0.541684866,0.330000013,0.424922943,1,0.114659689,-0.004268301,0.606529603,0.689926227,1.122472763,-0.006409737,0.752384472,0.513800355,1.365928796,0.000628639,-0.195763434,0.693639569,0,1.454912145,0.220293387,-0.290755636,1.686011978,0.129037897,0,0,,,,,,0.545000017,0.227033375,1.069070433,0.782489263,1.220484295,1.105375179,0.994714786,0.575958676,0.685996262,1.745329252,-0.134339781
0.540000021,0.713178277,0.524122834,0.449999988,0.629257619,0.636666656,0.545176804,0.333333343,0.428885967,1,0.114659689,-0.008797408,0.605120293,0.68767427,1.121027348,-0.010764918,0.754450183,0.515942236,1.367190313,0.000628639,-0.195763434,0.693639569,0,1.452407065,0.219635281,-0.290287112,1.685529636,0.139076769,0,0,,,,,,0.545000017,0.231620066,1.061893107,0.785398143,1.226257146,1.111192938,1.00394747,0.581776435,0.696474496,1.745329252,-0.134339781
0.538999975,0.712428093,0.519298255,0.458333343,0.63056767,0.638333321,0.550414681,0.335000008,0.434610307,1,0.114659689,-0.013567131,0.603740687,0.685359254,1.119515805,-0.015179946,0.756580817,0.518072162,1.368410172,0.000628639,-0.195763434,0.693639569,0,1.449868717,0.218967751,-0.289809344,1.685019294,0.159248792,0,0,,,,,,0.545000017,0.235059947,1.052024176,0.799942591,1.229720919,1.114101817,1.017796418,0.584685314,0.711609652,1.745329252,-0.134339781
0.538999975,0.712178051,0.515350878,0.463333338,0.636244535,0.643333316,0.557834983,0.340000004,0.441655666,1,0.114659689,-0.018964918,0.602227836,0.68268982,1.1177438,-0.020176289,0.75903369,0.520434981,1.369723222,0.000628639,-0.195763434,0.693639569,0,1.446997401,0.218211881,-0.289265426,1.684417209,0.179389286,0,0,,,,,,0.545000017,0.236206483,1.043949608,0.808669229,1.244730552,1.122828455,1.037415695,0.593411952,0.73023758,1.745329252,-0.134339781
0.538999975,0.711427867,0.512280703,0.465000004,0.638864636,0.644999981,0.562636375,0.341666669,0.446939677,1,0.114659689,-0.024103705,0.600840002,0.680094949,1.115990292,-0.024932884,0.76141356,0.522633113,1.370900898,0.000628639,-0.195763434,0.693639569,0,1.444265127,0.217491792,-0.288744085,1.683817532,0.19087433,0,0,,,,,,0.545000017,0.239646364,1.037669402,0.811578108,1.251658099,1.125737334,1.050110577,0.596320831,0.744208506,1.745329252,-0.134339781
0.537999988,0.710427582,0.508771956,0.471666664,0.640174687,0.648333311,0.566128314,0.343333334,0.451783359,1,0.114659689,-0.030028902,0.599222361,0.676918497,1.113812739,-0.030402525,0.764309042,0.525215207,1.372239437,0.000628639,-0.195763434,0.693639569,0,1.44099369,0.216628683,-0.288115555,1.683068975,0.205603671,0,0,,,,,,0.545000017,0.244233055,1.030492076,0.823213626,1.255121872,1.131555093,1.059343261,0.599229711,0.757015201,1.745329252,-0.134339781
0.537999988,0.709927499,0.508771956,0.474999994,0.640174687,0.651666641,0.566564798,0.346666664,0.452664018,1,0.114659689,-0.035975026,0.597668583,0.673660665,1.111539294,-0.035891574,0.767272795,0.527739328,1.373488759,0.000628639,-0.195763434,0.693639569,0,1.437712166,0.215761821,-0.287479877,1.682281333,0.210043927,0,0,,,,,,0.545000017,0.246526127,1.030492076,0.829031384,1.255121872,1.137372851,1.060497327,0.605047469,0.759343663,1.745329252,-0.134339781
0.537999988,0.708927214,0.508771956,0.479999989,0.640174687,0.653333306,0.567874312,0.348333329,0.454425365,1,0.114659689,-0.04212033,0.596135419,0.670220688,1.109097528,-0.041564644,0.770395715,0.530278258,1.374682874,0.000628639,-0.195763434,0.693639569,0,1.434322071,0.214865167,-0.286817729,1.681429414,0.215712671,0,0,,,,,,0.545000017,0.251112818,1.030492076,0.837758022,1.255121872,1.140281731,1.063959682,0.607956348,0.764000664,1.745329252,-0.134339781
0.537999988,0.70817703,0.50570178,0.485000014,0.640174687,0.656666696,0.570056736,0.351666659,0.456627041,1,0.114659689,-0.048607691,0.594596772,0.666509266,1.106418488,-0.047553715,0.773757473,0.532882223,1.375837945,0.000628639,-0.195763434,0.693639569,0,1.430744569,0.213917755,-0.286112999,1.68048861,0.227720561,0,0,,,,,,0.545000017,0.254552699,1.024211869,0.846484712,1.255121872,1.146099593,1.069730011,0.613774107,0.769821897,1.745329252,-0.134339781
0.537,0.707926989,0.50570178,0.486666679,0.640174687,0.660000026,0.570056736,0.353333324,0.4575077,1,0.114659689,-0.054526735,0.593270444,0.663045611,1.103875651,-0.053018407,0.776887038,0.535184379,1.376790543,0.000628639,-0.195763434,0.693639569,0,1.427481527,0.213052498,-0.285464413,1.679590148,0.230431123,0,0,,,,,,0.545000017,0.255699235,1.024211869,0.849393591,1.255121872,1.151917352,1.069730011,0.616682986,0.772150358,1.745329252,-0.134339781
0.537,0.706926703,0.503947377,0.491666675,0.640174687,0.661666691,0.570929706,0.354999989,0.459709376,1,0.114136122,-0.060373648,0.592099293,0.659682935,1.10136245,-0.058215007,0.780054216,0.537434559,1.377674055,0.000628639,-0.195763434,0.693639569,0,1.424379497,0.212228981,-0.28484275,1.678700912,0.236946485,0,0,,,,,,0.545000017,0.260285925,1.020623145,0.858120229,1.255121872,1.154826231,1.072038143,0.619591866,0.77797159,1.745329252,-0.135724093
0.537999988,0.704926252,0.500877202,0.50333333,0.638864636,0.665000021,0.57223922,0.360000014,0.460149705,1,0.114659689,-0.066765226,0.590982325,0.656104241,1.098638739,-0.063914855,0.783586433,0.539832697,1.37854789,0.000628639,-0.195763434,0.693639569,0,1.420977909,0.211324963,-0.284155713,1.677689086,0.250642711,0,0,,,,,,0.545000017,0.26945876,1.014342939,0.878482385,1.251658099,1.16064399,1.075500498,0.628318556,0.779135821,1.745329252,-0.134339781
0.537,0.702425599,0.500877202,0.514999986,0.634061158,0.668333352,0.570929706,0.363333344,0.460149705,1,0.114659689,-0.07315526,0.589856746,0.652275026,1.095694961,-0.069595341,0.787170091,0.542145942,1.379314908,0.000628639,-0.195763434,0.693639569,0,1.41758867,0.21042318,-0.283465276,1.676640685,0.257903252,0,0,,,,,,0.545000017,0.280925213,1.014342939,0.89884454,1.238957701,1.166461749,1.072038143,0.634136314,0.779135821,1.745329252,-0.134339781
0.537999988,0.700675189,0.498684198,0.531666696,0.63187772,0.670000017,0.570929706,0.363333344,0.460149705,1,0.114136122,-0.080883175,0.588595303,0.647545074,1.092007283,-0.07646606,0.791580725,0.544850997,1.380117746,0.000628639,-0.195763434,0.693639569,0,1.413490066,0.20933142,-0.282623156,1.67532418,0.271927646,0,0,,,,,,0.545000017,0.288951512,1.009857034,0.927933437,1.233184693,1.169370628,1.072038143,0.634136314,0.779135821,1.745329252,-0.135724093
0.537,0.700175047,0.497807026,0.550000012,0.631441057,0.671666682,0.571802735,0.36500001,0.460149705,1,0.114136122,-0.088781093,0.587344698,0.642407953,1.087951347,-0.083761947,0.796361518,0.547603596,1.380810193,0.000628639,-0.195763434,0.693639569,0,1.409138619,0.20817076,-0.281719765,1.673863717,0.288712957,0,0,,,,,,0.545000017,0.291244857,1.008062733,0.959931109,1.232030154,1.172279507,1.074346432,0.637045194,0.779135821,1.745329252,-0.135724093
0.537999988,0.700675189,0.497368425,0.566666663,0.634934485,0.675000012,0.57223922,0.366666675,0.46323207,1,0.114136122,-0.095851377,0.58651021,0.638051347,1.084425285,-0.09007081,0.800584323,0.549873162,1.381262278,0.000628639,-0.195763434,0.693639569,0,1.405376331,0.207165859,-0.280930011,1.672543121,0.303089981,0,0,,,,,,0.545000017,0.288951512,1.007165552,0.989019903,1.241266778,1.178097266,1.075500498,0.639954073,0.787285594,1.745329252,-0.135724093
