,TR_LOSS
0,25.983576043700044
1,7.136417515878237
2,11.779966579990901
3,6.85927199242793
4,8.198907219194469
5,7.883418715504619
6,6.199917484481456
7,6.469829749647383
8,6.908971232957089
9,6.204884232582582
10,5.583818810511739
11,5.676415506109766
12,5.609636948992042
13,4.918279235092676
14,4.198010336429723
15,3.825946213279661
16,3.2894159803615013
17,2.2184658111851
18,1.2738206005920594
19,1.1146373725350711
20,0.8143299921564756
21,1.194038245696877
22,1.8836446925148547
23,1.135424292297878
24,0.8500923337304157
25,0.5763501590430123
26,0.2865577903449438
27,0.49101771107431386
28,0.6231036239229569
29,0.5469550562743446
30,0.5979627797387947
31,0.6642991083790366
32,0.5159888024828088
33,0.4017043744259363
34,0.4130964941132651
35,0.32429855598133156
36,0.26620316124456284
37,0.3629179810944676
38,0.33968041964264456
39,0.3449099201289125
40,0.39188415671853105
41,0.30332903335070255
42,0.2853914713822601
43,0.2604821321095224
44,0.20206393856111343
45,0.2346214712246036
46,0.23112243476019856
47,0.22774365397578536
48,0.26097687050735885
49,0.23882846985839865
50,0.23082175417801748
51,0.22929060121590653
52,0.19714125135477362
53,0.20377319739026822
54,0.1996821679301256
55,0.19716083136822163
56,0.21356185920269058
57,0.2015109963482042
58,0.20630658938149274
59,0.19542069762928138
60,0.1857208164323359
61,0.18645298440215738
62,0.17693015789874672
63,0.18387358919101754
64,0.18170220219667296
65,0.18309469604842893
66,0.1848952672272242
67,0.17877006347422852
68,0.17999422337003898
69,0.17397530696877353
70,0.17442393350944982
71,0.174012724472393
72,0.1738155629836921
73,0.17613622949031887
74,0.17352474567777174
75,0.1742798818396069
76,0.1704900010417609
77,0.17029028346659772
78,0.16861844535541654
79,0.16881018709114337
80,0.16924576953187748
81,0.16875416778531194
82,0.16920533218181918
83,0.16758546454796258
84,0.16762532114936998
85,0.16615281723167072
86,0.16649930066190646
87,0.16589979755155215
88,0.16631986326904075
89,0.16594395341025173
90,0.16576349718859257
91,0.16520499201880326
92,0.1646895655394736
93,0.1643960624558049
94,0.16409364288678635
95,0.16415474467960062
96,0.16390391142291025
97,0.1638948632246835
98,0.16345806086582315
99,0.16333390237943543
100,0.16292372321463144
101,0.16289940874551692
102,0.1626391811736853
103,0.16266114249096048
104,0.16240714800461736
105,0.16234168193496634
106,0.16204679156180504
107,0.16194235688407013
108,0.16169582534788218
109,0.16163187656602665
110,0.16145278010622843
111,0.16139377507467995
112,0.16121250673933785
113,0.16110794374438397
114,0.16091795653912283
115,0.16080886126576766
116,0.1606607164950782
117,0.16057315827483865
118,0.1604500410668572
119,0.16034390693143843
120,0.16021107711074536
121,0.16008367306184337
122,0.1599620669344127
123,0.1598435592002206
124,0.15974420350689073
125,0.15962899189353735
126,0.15952947659822403
127,0.15940389849353467
128,0.1592991308552085
129,0.15917642759958753
130,0.1590783646994514
131,0.15896777789174793
132,0.1588703901000878
133,0.15876189382460268
134,0.15865567626193444
135,0.15854865257666423
136,0.15844122653414036
137,0.15834183151818784
138,0.15823717461316877
139,0.15813962603482512
140,0.15803388863339235
141,0.15793326132555183
